,theme,locations,start_time,end_time,sources,df_indexes,affected_sectors,severity_ratio,answer_ratio
0,Borrasca,"['Lugo', 'Ourense', 'Pontevedra']",2023-11-05,2023-11-11,"[114, 103, 79]","[120, 154, 148]","['Energia', 'Transporte', 'Agua y Alimentos']","{'Energia': (0.47619047619047616, 0.5357142857142857, 0.5952380952380952), 'Transporte': (0.25, 0.34375, 0.4375), 'Agua y Alimentos': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{0: (0.5, 0.625, 0.75), 1: (1.0, 1.0, 1.0), 5: (0.75, 0.75, 0.75), 8: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
1,Temporal,"['Lugo', 'Ourense', 'Pontevedra']",2023-11-05,2023-11-11,"[104, 16, 114, 79]","[120, 154, 148]","['Energia', 'Transporte', 'Agua y Alimentos']","{'Energia': (0.5952380952380952, 0.5952380952380952, 0.5952380952380952), 'Transporte': (0.25, 0.5625, 1.0), 'Agua y Alimentos': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{0: (0.75, 0.75, 0.75), 1: (1.0, 1.0, 1.0), 5: (0.75, 0.875, 1.0), 8: (1.0, 1.0, 1.0), 6: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0)}"
2,Tempestad,"['A Coruna', 'Bizkaia']",2023-11-05,2023-11-10,"[179, 213]","[8, 44]","['Transporte', 'Sanidad']","{'Transporte': (0.1875, 0.21875, 0.25)}","{6: (0.75, 0.875, 1.0)}"
3,Inundacion,"['Jaen', 'Castellon', 'Segovia', 'Valencia', 'Navarra', 'Cuenca', 'Badajoz', 'Sevilla', 'Valladolid', 'Zaragoza', 'Guadalajara', 'Cadiz', 'Ciudad Real', 'Murcia', 'Tarragona']",2023-09-03,2023-09-27,"[256, 257, 258, 259, 260, 138, 139, 143, 272, 17, 18, 19, 20, 273, 274, 23, 159, 160, 161, 162, 166, 39, 171, 51, 52, 190, 191, 217, 218, 219, 220, 221, 94, 95, 222, 223, 224, 241, 117, 118, 119, 120, 126]","[134, 142, 143, 28, 159, 162, 163, 168, 169, 53, 186, 187, 62, 63, 193, 66, 67, 197, 74, 85, 104]","['Aguas Residuales', 'Energia', 'Agua y Alimentos', 'Transporte', 'Sanidad']","{'Transporte': (0.1875, 0.3271276595744681, 0.875), 'Energia': (0.11904761904761904, 0.2857142857142857, 0.5952380952380952), 'Agua y Alimentos': (0.3333333333333333, 0.6197916666666666, 1.0), 'Sanidad': (0.3333333333333333, 0.6166666666666667, 0.8333333333333334), 'Aguas Residuales': (1.0, 1.0, 1.0)}","{8: (0.5, 0.9222222222222223, 1.0), 0: (0.25, 0.45, 0.75), 14: (0.75, 0.9464285714285714, 1.0), 15: (1.0, 1.0, 1.0), 7: (0.5, 0.8333333333333334, 1.0), 16: (0.75, 0.95, 1.0), 1: (0.5, 0.75, 1.0), 11: (0.75, 0.85, 1.0), 5: (0.75, 0.9375, 1.0), 10: (1.0, 1.0, 1.0), 6: (0.25, 0.625, 1.0), 17: (1.0, 1.0, 1.0), 18: (1.0, 1.0, 1.0), 19: (1.0, 1.0, 1.0), 13: (1.0, 1.0, 1.0)}"
4,Luvias Intensas,"['Jaen', 'Castellon', 'Segovia', 'Malaga', 'Valencia', 'Cuenca', 'Alicante', 'Zaragoza', 'Guadalajara', 'Cadiz', 'Ciudad Real', 'Tarragona']",2023-09-03,2023-09-27,"[257, 2, 259, 138, 140, 271, 21, 23, 162, 172, 180, 53, 88, 220, 221, 225, 242, 121, 122]","[66, 131, 67, 197, 104, 168, 10, 73, 85, 53, 186, 187, 63, 62, 159]","['Energia', 'Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': (0.0, 0.378125, 0.875), 'Agua y Alimentos': (0.3333333333333333, 0.6296296296296295, 1.0), 'Energia': (0.35714285714285715, 0.35714285714285715, 0.35714285714285715), 'Sanidad': (0.8333333333333334, 0.8333333333333334, 0.8333333333333334)}","{8: (0.75, 0.9736842105263158, 1.0), 14: (0.75, 0.9375, 1.0), 16: (0.5, 0.9166666666666666, 1.0), 6: (0.25, 0.4375, 1.0), 7: (0.0, 0.7083333333333334, 1.0), 15: (1.0, 1.0, 1.0), 5: (0.75, 0.75, 0.75), 0: (0.75, 0.75, 0.75), 10: (1.0, 1.0, 1.0), 11: (1.0, 1.0, 1.0), 13: (1.0, 1.0, 1.0)}"
5,Desbordamientos,"['Jaen', 'Castellon', 'Segovia', 'Malaga', 'Valencia', 'Navarra', 'Cuenca', 'Badajoz', 'Sevilla', 'Zaragoza', 'Guadalajara', 'Cadiz', 'Ciudad Real', 'Tarragona']",2023-09-03,2023-09-26,"[257, 261, 141, 142, 18, 275, 22, 24, 25, 26, 27, 173, 51, 52, 54, 192, 95, 96, 224, 226, 227, 241, 117, 118, 120, 123, 124]","[162, 131, 163, 197, 66, 104, 168, 74, 142, 143, 85, 86, 53, 186, 28, 63, 62, 159]","['Aguas Residuales', 'Energia', 'Infraestructura digital', 'Agua y Alimentos', 'Transporte', 'Sanidad']","{'Transporte': (0.1875, 0.330078125, 0.75), 'Energia': (0.11904761904761904, 0.2857142857142857, 0.7142857142857143), 'Agua y Alimentos': (0.3333333333333333, 0.6944444444444444, 1.0), 'Aguas Residuales': (0.8823529411764706, 0.9411764705882353, 1.0), 'Sanidad': (0.5, 0.6666666666666666, 0.8333333333333334), 'Infraestructura digital': (0.18181818181818182, 0.18181818181818182, 0.18181818181818182)}","{8: (0.75, 0.9375, 1.0), 0: (0.25, 0.5, 1.0), 14: (0.75, 0.90625, 1.0), 15: (1.0, 1.0, 1.0), 7: (0.0, 0.9, 1.0), 16: (0.75, 0.9, 1.0), 17: (1.0, 1.0, 1.0), 19: (1.0, 1.0, 1.0), 5: (0.25, 0.8125, 1.0), 10: (0.75, 0.9166666666666666, 1.0), 11: (0.75, 0.9166666666666666, 1.0), 18: (1.0, 1.0, 1.0), 6: (0.0, 0.0, 0.0), 13: (1.0, 1.0, 1.0), 1: (1.0, 1.0, 1.0), 21: (1.0, 1.0, 1.0)}"
6,Crecida,"['Castellon', 'Valencia', 'Segovia', 'Badajoz', 'Sevilla', 'Zaragoza', 'Guadalajara', 'Cadiz']",2023-09-03,2023-09-20,"[192, 159, 163, 164, 165, 230, 231, 228, 229, 174, 220, 23, 243, 244, 119, 24, 124, 127]","[162, 197, 85, 53, 186, 28, 63, 62, 159]","['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': (0.0, 0.4575892857142857, 0.875), 'Agua y Alimentos': (0.3333333333333333, 0.5, 0.6666666666666666), 'Sanidad': (0.25, 0.4583333333333333, 0.75)}","{7: (0.0, 0.78125, 1.0), 8: (0.75, 0.9895833333333334, 1.0), 14: (1.0, 1.0, 1.0), 15: (1.0, 1.0, 1.0), 11: (0.75, 0.8928571428571429, 1.0), 10: (0.25, 0.75, 1.0), 5: (0.75, 0.9642857142857143, 1.0), 6: (1.0, 1.0, 1.0), 13: (1.0, 1.0, 1.0)}"
7,Dana,"['Jaen', 'Segovia', 'Valencia', 'Navarra', 'Madrid', 'Badajoz', 'Cuenca', 'Zaragoza', 'Guadalajara', 'Cadiz', 'Ciudad Real', 'Murcia', 'Toledo', 'Tarragona']",2023-09-03,2023-10-04,"[2, 258, 262, 263, 264, 265, 138, 148, 276, 277, 23, 278, 37, 166, 39, 171, 53, 55, 56, 192, 193, 194, 88, 221, 94, 97, 225, 232, 117, 118, 125]","[66, 67, 197, 134, 104, 168, 169, 74, 28, 142, 179, 85, 53, 186, 187, 124, 159]","['Energia', 'Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': (0.1875, 0.3333333333333333, 0.75), 'Agua y Alimentos': (0.3333333333333333, 0.625, 0.8333333333333334), 'Energia': (0.23809523809523808, 0.4067460317460318, 0.5952380952380952)}","{7: (0.5, 0.8461538461538461, 1.0), 8: (0.75, 0.9396551724137931, 1.0), 14: (0.75, 0.9722222222222222, 1.0), 15: (1.0, 1.0, 1.0), 16: (0.5, 0.9411764705882353, 1.0), 0: (0.5, 0.6666666666666666, 0.75), 1: (0.25, 0.75, 1.0), 6: (0.25, 0.25, 0.25), 5: (1.0, 1.0, 1.0)}"
8,Luvias Intensas,"['Gipuzkoa', 'Huesca', 'Bizkaia']",2023-05-20,2023-06-24,"[89, 203, 36, 279]","[40, 75, 92]","['Transporte', 'Sanidad', 'Agua y Alimentos']","{'Transporte': (0.25, 0.3333333333333333, 0.5), 'Agua y Alimentos': (0.6666666666666666, 0.6666666666666666, 0.6666666666666666), 'Sanidad': (0.3333333333333333, 0.3333333333333333, 0.3333333333333333)}","{8: (1.0, 1.0, 1.0), 14: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0), 11: (1.0, 1.0, 1.0), 7: (1.0, 1.0, 1.0)}"
9,Inundacion,"['Lugo', 'Castellon', 'Segovia', 'Granada', 'Navarra', 'Lleida', 'Gipuzkoa', 'Girona', 'Palencia', 'Ourense']",2023-05-20,2023-07-03,"[101, 102, 281, 105, 75, 282, 239, 116, 284, 279, 89, 90, 60]","[137, 138, 75, 78, 112, 80, 147, 116, 149, 61, 158]","['Sanidad', 'Transporte', 'Aguas Residuales', 'Agua y Alimentos']","{'Transporte': (0.125, 0.26785714285714285, 0.5), 'Agua y Alimentos': (0.6666666666666666, 0.8333333333333333, 1.0), 'Aguas Residuales': (0.7058823529411765, 0.8970588235294118, 1.0), 'Sanidad': (0.3333333333333333, 0.5, 0.6666666666666666)}","{8: (0.75, 0.9615384615384616, 1.0), 14: (1.0, 1.0, 1.0), 15: (1.0, 1.0, 1.0), 16: (1.0, 1.0, 1.0), 7: (0.5, 0.8333333333333334, 1.0), 18: (1.0, 1.0, 1.0), 19: (1.0, 1.0, 1.0), 17: (1.0, 1.0, 1.0), 10: (1.0, 1.0, 1.0), 11: (1.0, 1.0, 1.0)}"
