,date,disaster,province,total_cost,claims,duration,losses_day
0,2023-05-23,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,517.0,1,1,517.0
1,2023-05-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3032.0,1,1,3032.0
5,2023-06-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,13669.0,6,4,3417.25
8,2023-06-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,11881.0,7,3,3960.3333333333335
9,2023-06-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,1355.0,2,1,1355.0
10,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,5650.0,1,1,5650.0
12,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,37987.0,7,2,18993.5
13,2023-09-11,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3670.0,1,1,3670.0
14,2023-09-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,24760.0,8,1,24760.0
15,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,14402.0,2,1,14402.0
16,2023-09-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,3632.0,1,1,3632.0
18,2023-09-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Albacete,2665.0,2,2,1332.5
23,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Albacete,23270.0,44,5,4654.0
24,2023-02-08,CAUSAS NATURALES/EMBATE DE MAR,Alicante/Alacant,112.0,1,1,112.0
25,2023-09-01,CAUSAS NATURALES/EMBATE DE MAR,Alicante/Alacant,536.0,1,1,536.0
26,2023-09-04,CAUSAS NATURALES/EMBATE DE MAR,Alicante/Alacant,6412.0,1,1,6412.0
28,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,4412.0,4,2,2206.0
29,2023-05-18,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,1338.0,1,1,1338.0
30,2023-05-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,3156.0,2,1,3156.0
34,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,524440.0,80,4,131110.0
37,2023-05-30,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,26040.0,10,3,8680.0
40,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,66704.0,17,3,22234.666666666668
41,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,72363.0,26,1,72363.0
42,2023-07-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,193.0,1,1,193.0
43,2023-08-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,2361.0,1,1,2361.0
45,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,64758.0,17,2,32379.0
46,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,6205.0,2,1,6205.0
47,2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,86390.0,30,1,86390.0
48,2023-09-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante/Alacant,10994.0,5,1,10994.0
53,2023-01-20,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante/Alacant,36423.0,39,5,7284.6
54,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante/Alacant,156.0,1,1,156.0
55,2023-04-29,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante/Alacant,39918.0,42,1,39918.0
56,2023-05-13,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante/Alacant,2867.0,3,1,2867.0
57,2023-07-11,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante/Alacant,95267.0,99,1,95267.0
58,2023-08-04,CAUSAS NATURALES/EMBATE DE MAR,Almeria,2704.0,1,1,2704.0
60,2023-09-03,CAUSAS NATURALES/EMBATE DE MAR,Almeria,18774.0,2,2,9387.0
61,2023-05-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,2194.0,1,1,2194.0
70,2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,1825564.0,192,9,202840.44444444444
72,2023-05-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,39746.0,8,2,19873.0
76,2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,114746.0,15,4,28686.5
77,2023-06-16,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,1157.0,1,1,1157.0
78,2023-06-19,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,5687.0,1,1,5687.0
80,2023-09-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,4010.0,4,2,2005.0
90,2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,574182.0,572,10,57418.2
98,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,304678.0,187,8,38084.75
103,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,1420507.0,1315,5,284101.4
106,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,22034.0,12,3,7344.666666666667
108,2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,122218.0,24,2,61109.0
109,2023-06-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,19348.0,1,1,19348.0
114,2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,132376.0,31,5,26475.2
115,2023-06-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,476.0,1,1,476.0
117,2023-07-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,253670.0,87,2,126835.0
118,2023-07-27,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,450.0,1,1,450.0
119,2023-09-02,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,18302.0,3,1,18302.0
120,2023-09-04,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,2522.0,1,1,2522.0
123,2023-09-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba/Alava,12030.0,7,3,4010.0
124,2023-01-14,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,55.0,1,1,55.0
126,2023-01-17,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,2796.0,6,2,1398.0
134,2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,35837.0,62,8,4479.625
136,2023-10-29,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,5063.0,4,2,2531.5
142,2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,529259.0,555,6,88209.83333333333
143,2023-12-30,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba/Alava,3214.0,1,1,3214.0
144,2023-10-28,CAUSAS NATURALES/EMBATE DE MAR,Asturias,8564.0,2,1,8564.0
145,2023-01-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2902.0,2,1,2902.0
151,2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,206797.0,65,6,34466.166666666664
152,2023-06-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2944.0,1,1,2944.0
153,2023-06-08,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,2286.0,2,1,2286.0
155,2023-06-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,8326.0,7,2,4163.0
156,2023-08-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,8228.0,2,1,8228.0
