,date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
0,2023-10-28,CAUSAS NATURALES/EMBATE DE MAR,A Coruna,3867.0,1,[15178],1,3867.0
1,2023-01-01,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,630.0,1,[15500],1,630.0
3,2023-01-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,63003.0,27,"[15970, 15688, 15978, 15705, 15994, 15707, 15996, 15998, 15999]",2,31501.5
4,2023-01-09,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,3960.0,1,[15707],1,3960.0
5,2023-01-14,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,5141.0,1,[15560],1,5141.0
10,2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,174008.0,31,"[15619, 15500, 15630, 15911, 15660, 15920, 15800, 15300, 15560, 15310, 15822, 15313, 15314, 15319, 15320, 15330, 15332, 15339, 15349, 15608]",5,34801.6
11,2023-01-24,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,2471.0,1,[15621],1,2471.0
12,2023-01-31,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,2662.0,1,[15168],1,2662.0
13,2023-02-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,594.0,1,[15570],1,594.0
14,2023-02-17,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,2050.0,1,[15960],1,2050.0
15,2023-02-25,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,2396.0,1,[15110],1,2396.0
16,2023-03-13,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,1059.0,1,[15892],1,1059.0
17,2023-04-06,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,510.0,1,[15630],1,510.0
