date,disaster,province,total_cost,claims,postal_codes,duration,losses_day
2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,174008.0,31,"[15619, 15500, 15630, 15911, 15660, 15920, 15800, 15300, 15560, 15310, 15822, 15313, 15314, 15319, 15320, 15330, 15332, 15339, 15349, 15608]",5,34801.6
2023-09-10,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,82303.0,20,"[15200, 15177, 15178, 15179, 15703, 15165]",3,27434.33333333333
2023-10-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,199758.0,68,"[15890, 15640, 15898, 15006, 15011, 15660, 15938, 15300, 15174, 15175, 15820, 15701, 15702, 15703, 15705, 15706, 15707, 15200, 15970, 15866]",4,49939.5
2023-10-29,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,206401.0,46,"[15888, 15898, 15900, 15401, 15402, 15154, 15930, 15300, 15940, 15178, 15820, 15702, 15190, 15960, 15705, 15707, 15967, 15200, 15220]",5,41280.2
2023-11-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,109953.0,30,"[15110, 15622, 15625, 15116, 15510, 15129, 15258, 15004, 15006, 15405, 15150, 15917, 15920, 15288, 15173, 15560, 15177, 15702, 15320, 15705, 15967, 15845, 15980, 15984, 15230]",8,13744.125
2023-11-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,A Coruna,735753.0,121,"[15619, 15621, 15622, 15110, 15624, 15625, 15626, 15500, 15630, 15124, 15509, 15510, 15126, 15256, 15129, 15258, 15520, 15270, 15401, 15404, 15405, 15150, 15151, 15406, 15168, 15552, 15688, 15177, 15560, 15570, 15572, 15573, 15830, 15577, 15840, 15587, 15594, 15349, 15609]",4,183938.25
2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,303016.0,302,"[15360, 15619, 15365, 15366, 15367, 15368, 15369, 15001, 15542, 15543, 15550, 15551, 15552, 15553, 15555, 15560, 15563, 15564, 15565, 15569, 15315, 15317, 15576, 15320, 15325, 15327, 15330, 15332, 15337, 15338, 15339, 15340, 15349, 15350, 15609, 15612, 15613, 15359]",10,30301.6
2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,161567.0,170,"[15360, 15365, 15238, 15367, 15237, 15115, 15116, 15117, 15118, 15121, 15250, 15123, 15124, 15125, 15126, 15256, 15129, 15130, 15258, 15259, 15138, 15270, 15147, 15149, 15151, 15153, 15154, 15155, 15287, 15290, 15291, 15292, 15293, 15550, 15551, 15552, 15553, 15298, 15554, 15565, 15830, 15320, 15838, 15840, 15330, 15337, 15338, 15339, 15850, 15350, 15863, 15357, 15230]",8,20195.875
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,A Coruna,1514909.0,2128,"[15360, 15873, 15365, 15880, 15881, 15882, 15883, 15884, 15885, 15886, 15368, 15888, 15890, 15891, 15892, 15893, 15894, 15895, 15896, 15897, 15898, 15899, 15900, 15911, 15401, 15402, 15403, 15404, 15405, 15406, 15920, 15928, 15930, 15937, 15938, 15939, 15940, 15948, 15949, 15950, 15959, 15960, 15965, 15966, 15967, 15968, 15969, 15970, 15978, 15979, 15980, 15981, 15984, 15985, 15990, 15991, 15992, 15993, 15994, 15995, 15996, 15999, 15500, 15509, 15510, 15520, 15008, 15528, 15530, 15540, 15541, 15542, 15543, 15550, 15551, 15552, 15553, 15554, 15560, 15562, 15563, 15564, 15565, 15567, 15568, 15569, 15570, 15572, 15573, 15576, 15577, 15578, 15590, 15592, 15593, 15594, 15595, 15596, 15597, 15617, 15598, 15619, 15611, 15100, 15613, 15612, 15102, 15105, 15106, 15107, 15620, 15109, 15110, 15623, 15624, 15113, 15626, 15621, 15108, 15117, 15118, 15625, 15111, 15121, 15115, 15123, 15124, 15125, 15122, 15116, 15128, 15129, 15130, 15627, 15138, 15140, 15141, 15142, 15119, 15144, 15145, 15146, 15147, 15148, 15149, 15150, 15151, 15152, 15153, 15154, 15155, 15622, 15683, 15684, 15687, 15688, 15689, 15690, 15185, 15186, 15187, 15188, 15189, 15702, 15703, 15704, 15705, 15706, 15707, 15701, 15200, 15210, 15212, 15213, 15214, 15218, 15220, 15230, 15237, 15240, 15250, 15256, 15258, 15259, 15270, 15280, 15282, 15286, 15287, 15288, 15290, 15291, 15292, 15293, 15297, 15299, 15813, 15814, 15820, 15313, 15315, 15317, 15830, 15320, 15837, 15838, 15839, 15840, 15841, 15330, 15332, 15845, 15846, 15847, 15848, 15337, 15338, 15339, 15850, 15851, 15855, 15857, 15858, 15859, 15860, 15347, 15350, 15863, 15864, 15865, 15866, 15357, 15870, 15359]",5,302981.8
2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,524440.0,80,"[3202, 3203, 3204, 3460, 3206, 3590, 3339, 3727, 3730, 3349, 3109, 3110, 3111, 3113, 3115, 3502, 3509, 3001, 3004, 3006, 3008, 3520, 3650, 3012, 3400, 3016, 3660, 3791, 3409, 3540, 3158, 3801, 3802, 3420, 3293, 3550, 3680, 3296, 3560, 3690, 3820, 3698, 3699, 3830, 3320, 3450]",4,131110.0
2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Alicante,86390.0,30,"[3130, 3560, 3750, 3770, 3290, 3770, 3313, 3560, 3130, 3380, 3560, 3578, 3578, 3130, 3560, 3130, 3008, 3770, 3730, 3130, 3560, 3110, 3130, 3100, 3560, 3569, 3560, 3770, 3700, 3195]",1,86390.0
2023-07-11,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Alicante,95267.0,99,"[3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3409, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400, 3400]",1,95267.0
2023-05-26,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,1825564.0,192,"[4610, 4867, 4100, 4616, 4617, 4618, 4619, 4620, 4110, 4628, 4117, 4120, 4890, 4638, 4639, 4640, 4001, 4131, 4007, 4648, 4009, 4647, 4271, 4661, 4150, 4811, 4814, 4692, 4693, 4694, 4700, 4200, 4210, 4600]",9,202840.44444444444
2023-06-03,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Almeria,114746.0,15,"[4260, 4005, 4200, 4620, 4560, 4760]",4,28686.5
2023-01-23,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,574182.0,572,"[4610, 4738, 4740, 4867, 4870, 4616, 4617, 4746, 4619, 4620, 4618, 4750, 4879, 4880, 4628, 4500, 4887, 4120, 4760, 4890, 4640, 4001, 4002, 4131, 4004, 4005, 4006, 4647, 4648, 4007, 4008, 4009, 4650, 4130, 4003, 4271, 4660, 4661, 4150, 4151, 4409, 4800, 4810, 4813, 4820, 4693, 4700, 4829, 4830, 4838, 4711, 4712, 4713, 4710, 4715, 4728, 4717, 4716, 4720, 4850, 4727, 4600, 4860]",10,57418.2
2023-10-24,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,304678.0,187,"[4738, 4867, 4100, 4740, 4230, 4870, 4620, 4621, 4110, 4750, 4114, 4115, 4116, 4628, 4118, 4117, 4760, 4120, 4500, 4250, 4630, 4638, 4639, 4002, 4131, 4003, 4005, 4006, 4007, 4008, 4009, 4520, 4770, 4140, 4270, 4400, 4275, 4149, 4150, 4279, 4280, 4410, 4288, 4700, 4711, 4713, 4459, 4720, 4724, 4727, 4728, 4857]",8,38084.75
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Almeria,1420507.0,1315,"[4610, 4100, 4616, 4617, 4619, 4620, 4621, 4110, 4114, 4115, 4116, 4117, 4118, 4628, 4120, 4638, 4640, 4130, 4131, 4647, 4648, 4140, 4660, 4149, 4662, 4151, 4150, 4160, 4690, 4691, 4692, 4700, 4710, 4711, 4712, 4200, 4713, 4715, 4716, 4717, 4720, 4721, 4727, 4738, 4740, 4741, 4230, 4743, 4745, 4746, 4240, 4760, 4250, 4770, 4260, 4778, 4779, 4270, 4279, 4800, 4810, 4813, 4814, 4820, 4825, 4828, 4829, 4830, 4850, 4857, 4860, 4867, 4869, 4870, 4877, 4880, 4887, 4888, 4889, 4890, 4898, 4510, 4001, 4002, 4003, 4004, 4005, 4006, 4007, 4008, 4009, 4520, 4550, 4567, 4600]",5,284101.4
2023-06-12,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,122218.0,24,"[1476, 1477, 1128, 1423, 1170, 1015, 1307, 1213, 1118]",2,61109.0
2023-06-21,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,132376.0,31,"[1474, 1476, 1320, 1193, 1449, 1322, 1426, 1300, 1307]",5,26475.2
2023-07-07,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Araba,253670.0,87,"[1420, 1430, 1191, 1192, 1330, 1206, 1118, 1001, 1002, 1003, 1004, 1005, 1006, 1007, 1008, 1010, 1012, 1013, 1015]",2,126835.0
2023-11-05,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,Araba,529259.0,555,"[1408, 1409, 1160, 1420, 1423, 1169, 1170, 1426, 1428, 1427, 1300, 1306, 1307, 1308, 1309, 1439, 1440, 1191, 1192, 1193, 1450, 1195, 1196, 1194, 1449, 1322, 1200, 1320, 1330, 1206, 1207, 1208, 1211, 1468, 1213, 1470, 1212, 1216, 1005, 1474, 1220, 1476, 1478, 1477, 1479, 1230, 1321, 1240, 1117, 1118, 1250, 1510, 1128, 1001, 1130, 1003, 1004, 1002, 1006, 1007, 1008, 1009, 1138, 1010, 1012, 1013, 1139, 1015, 1400, 1520]",6,88209.83333333333
2023-01-20,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,206797.0,65,"[33156, 33547, 33299, 33300, 33691, 33438, 33440, 33697, 33314, 33187, 33315, 33318, 33320, 33203, 33590, 33210, 33211, 33594, 33469, 33470, 33213, 33740, 33491, 33507, 33129, 33392, 33394, 33405]",6,34466.166666666664
2023-09-15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,Asturias,1182323.0,397,"[33920, 33929, 33930, 33420, 33423, 33424, 33937, 33938, 33299, 33425, 33429, 33430, 33180, 33438, 33311, 33825, 33314, 33187, 33186, 33192, 33193, 33195, 33199, 33201, 33202, 33203, 33204, 33205, 33206, 33207, 33208, 33209, 33210, 33211, 33595, 33212, 33470, 33390, 33600, 33350, 33617, 33618, 33750, 33879, 33119, 33510, 33001, 33900, 33518, 33519, 33007, 33392, 33010, 33394, 33011, 33012, 33391, 33009, 33008]",8,147790.375
