date,duration,disaster,claims,total_cost,losses_per_day,provinces
2023-08-17,55,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,24086,191473225.0,3481331.3636363638,"['Valencia', 'Malaga', 'Jaen', 'La Rioja', 'Barcelona', 'Cordoba', 'Lugo', 'Zaragoza', 'Badajoz', 'Valladolid', 'Ciudad Real', 'Huesca', 'Madrid', 'Huelva', 'Avila', 'Pontevedra', 'Guadalajara', 'Segovia', 'Ourense', 'Caceres', 'Sevilla', 'Palencia', 'Cuenca', 'Asturias', 'Castellon', 'A Coruna', 'Burgos', 'Lleida', 'Zamora', 'Granada', 'Gipuzkoa', 'Navarra', 'Salamanca', 'Cantabria', 'Girona', 'Cadiz', 'Almeria', 'Araba', 'Tarragona', 'Alicante', 'Bizkaia', 'Soria', 'Murcia', 'Leon', 'Albacete', 'Toledo']"
2023-05-12,72,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,13314,126063095.0,1750876.3194444445,"['Valencia', 'Malaga', 'Jaen', 'La Rioja', 'Lugo', 'Cordoba', 'Barcelona', 'Zaragoza', 'Badajoz', 'Valladolid', 'Ciudad Real', 'Teruel', 'Huesca', 'Madrid', 'Huelva', 'Avila', 'Pontevedra', 'Guadalajara', 'Segovia', 'Ourense', 'Caceres', 'Sevilla', 'Palencia', 'Cuenca', 'Asturias', 'Castellon', 'A Coruna', 'Burgos', 'Lleida', 'Zamora', 'Granada', 'Gipuzkoa', 'Navarra', 'Salamanca', 'Cantabria', 'Girona', 'Cadiz', 'Almeria', 'Araba', 'Tarragona', 'Alicante', 'Bizkaia', 'Soria', 'Murcia', 'Leon', 'Albacete', 'Toledo']"
2023-10-17,28,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,53127,68591477.0,2449695.6071428573,"['Valencia', 'Jaen', 'Barcelona', 'Lugo', 'Cordoba', 'La Rioja', 'Zaragoza', 'Badajoz', 'Teruel', 'Huesca', 'Madrid', 'Huelva', 'Avila', 'Pontevedra', 'Guadalajara', 'Segovia', 'Ourense', 'Caceres', 'Sevilla', 'Palencia', 'Castellon', 'Asturias', 'A Coruna', 'Burgos', 'Lleida', 'Zamora', 'Granada', 'Gipuzkoa', 'Navarra', 'Salamanca', 'Cantabria', 'Girona', 'Cadiz', 'Almeria', 'Araba', 'Tarragona', 'Bizkaia', 'Soria', 'Murcia', 'Leon', 'Albacete', 'Toledo']"
2023-10-13,42,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,3018,17175335.0,408936.54761904763,"['Malaga', 'Sevilla', 'Jaen', 'Palencia', 'Lugo', 'Cordoba', 'Cuenca', 'Asturias', 'A Coruna', 'Badajoz', 'Ciudad Real', 'Burgos', 'Huesca', 'Granada', 'Madrid', 'Gipuzkoa', 'Huelva', 'Pontevedra', 'Navarra', 'Cantabria', 'Guadalajara', 'Ourense', 'Cadiz', 'Soria', 'Bizkaia', 'Caceres', 'Leon', 'Toledo']"
2023-01-14,19,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,8080,7061396.0,371652.4210526316,"['Valencia', 'La Rioja', 'Lugo', 'Barcelona', 'Zaragoza', 'Teruel', 'Huesca', 'Madrid', 'Avila', 'Pontevedra', 'Guadalajara', 'Segovia', 'Ourense', 'Palencia', 'Castellon', 'Asturias', 'A Coruna', 'Burgos', 'Lleida', 'Zamora', 'Granada', 'Gipuzkoa', 'Navarra', 'Cantabria', 'Girona', 'Almeria', 'Araba', 'Tarragona', 'Alicante', 'Bizkaia', 'Soria', 'Murcia', 'Leon']"
2023-01-04,8,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,837,5391684.0,673960.5,"['Pontevedra', 'Lugo', 'A Coruna', 'Ourense']"
2023-01-14,15,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,1016,4217620.0,281174.6666666667,"['Pontevedra', 'Lugo', 'Asturias', 'Cantabria', 'A Coruna', 'Ourense', 'Burgos', 'Bizkaia', 'Leon']"
2023-03-02,9,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,263,2091164.0,232351.55555555556,['Illes Balears']
2023-11-30,5,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,218,1913609.0,382721.8,"['Huelva', 'Sevilla', 'Avila', 'Guadalajara', 'Badajoz', 'Caceres', 'Madrid', 'Toledo']"
2023-09-12,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,781,1869828.0,1869828.0,['Castellon']
2023-07-06,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,58,1394655.0,1394655.0,['Teruel']
2023-01-23,10,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,1418,1268193.0,126819.3,['Illes Balears']
2023-01-10,5,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,134,875154.0,175030.8,"['Caceres', 'Salamanca']"
2023-10-20,6,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,286,824557.0,137426.16666666666,"['Tarragona', 'Girona', 'Barcelona']"
2023-09-21,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,88,713279.0,237759.66666666666,['Illes Balears']
2023-08-26,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,302,661730.0,661730.0,['Valencia']
2023-09-03,3,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,67,589631.0,196543.66666666666,"['Ciudad Real', 'Toledo']"
2023-02-28,3,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,242,582480.0,194160.0,['Illes Balears']
2023-02-08,4,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,82,574674.0,143668.5,"['Sevilla', 'Cadiz', 'Malaga']"
2023-08-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,312,513358.0,513358.0,['Illes Balears']
2023-01-03,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,99,438345.0,146115.0,['Cadiz']
2023-10-20,4,CAUSAS NATURALES/EMBATE DE MAR,16,397631.0,99407.75,"['Tarragona', 'Girona', 'Barcelona']"
2023-10-16,7,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,72,355653.0,50807.57142857143,['Illes Balears']
2023-10-20,2,CAUSAS NATURALES/EMBATE DE MAR,8,327948.0,163974.0,['Illes Balears']
2023-08-29,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,75,299047.0,99682.33333333333,['Illes Balears']
2023-06-05,7,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,43,183430.0,26204.285714285714,['Illes Balears']
2023-12-03,5,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,56,164011.0,32802.2,"['Santa Cruz de Tenerife', 'Las Palmas']"
2023-02-10,5,CAUSAS NATURALES/EMBATE DE MAR,12,133741.0,26748.2,"['Malaga', 'Cadiz']"
2023-05-02,6,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,28,129299.0,21549.833333333332,"['Girona', 'Barcelona']"
2023-08-13,2,CAUSAS NATURALES/EMBATE DE MAR,5,128908.0,64454.0,['Santa Cruz de Tenerife']
2023-01-01,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,141,107907.0,107907.0,"['Pontevedra', 'Palencia', 'Lugo', 'Asturias', 'Cantabria', 'A Coruna', 'Ourense', 'Burgos', 'Bizkaia', 'Leon']"
2023-02-07,2,CAUSAS NATURALES/EMBATE DE MAR,7,107210.0,53605.0,"['Tarragona', 'Barcelona', 'Girona', 'Castellon']"
2023-07-11,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,99,95267.0,95267.0,['Alicante']
2023-07-27,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,42,82083.0,82083.0,"['Huesca', 'Lleida']"
2023-07-07,1,CAUSAS NATURALES/TEMPESTAD CICLÓNICA ATÍPICA,12,76400.0,76400.0,['Navarra']
2023-08-02,3,CAUSAS NATURALES/INUNDACIÓN EXTRAORDINARIA,4,68593.0,22864.333333333332,"['Tarragona', 'Zaragoza', 'Navarra']"
