id,link,sectors,severity,answers
0,https://www.dream-alcala.com/gran-inundacion-en-alcala-de-henares-tras-la-rotura-de-una-tuberia/,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.0, 'Agua y Alimentos': 0.3333333333333333}","{8: 0.0, 15: 1.0}"
1,https://www.larazon.es/el-tiempo/borrasca-fria-espana-directo-ultima-hora-temporal-tormentas-lluvias-torrenciales-granizo_202309156503f12998383a00011cd4c1.html,['Transporte'],{'Transporte': 0.375},"{7: 0.5, 8: 1.0}"
2,https://www.elperiodico.com/es/tiempo/20230915/alerta-inuncat-lluvias-viernes-catalunya-dv-92096860,[],{},{}
3,https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html,['Transporte'],{'Transporte': 0.375},"{7: 0.5, 8: 1.0}"
4,https://www.elnacional.cat/es/tag/el-tiempo,[],{},{}
5,https://www.elprogreso.es/articulo/a-marina/vuelve-fin-semana-tormentoso-mucha-lluvia-manana/202309142133481691677.html,[],{},{}
6,https://www.elmundo.es/espana/2023/10/28/653d565cfc6c838f768b45b0.html,['Transporte'],{'Transporte': 0.9375},"{5: 1.0, 6: 1.0, 7: 0.75, 8: 1.0}"
7,https://www.publico.es/sociedad/aline-aleja-dejar-paso-nueva-borrasca-partir-domingo.html,[],{},{}
8,https://www.lavozdegalicia.es/noticia/galicia/2023/10/28/nuevo-frente-deja-galicia-lluvia-fuertes-vientos-durante-sabado/00031698504215983982884.htm,['Transporte'],{'Transporte': 0.8125},"{5: 1.0, 6: 0.75, 7: 0.5, 8: 1.0}"
9,https://www.abc.es/espana/madrid/alerta-roja-lluvias-madrid-directo-estado-carreteras-incidencias-metro-cercanias-20231019162135-di.html,['Transporte'],{'Transporte': 0.4375},"{7: 0.75, 8: 1.0}"
10,https://www.farodevigo.es/sociedad/2023/10/20/tren-borrascas-aline-deja-galicia-93553121.html,['Transporte'],{'Transporte': 0.75},"{6: 1.0, 7: 1.0, 8: 1.0}"
