index,theme,start_time,end_time,sources,location,df_index
0,Inundacion,2023-09-10,2023-09-13,"[0, 1]",A Coruna,1
1,Luvias Intensas,2023-09-10,2023-09-13,"[1, 3]",A Coruna,1
2,Inundacion,2023-10-20,2023-10-24,"[6, 8, 9, 10, 11]",A Coruna,2
3,Luvias Intensas,2023-10-20,2023-10-24,"[11, 12]",A Coruna,2
4,Desbordamientos,2023-10-20,2023-10-24,"[16, 14, 15]",A Coruna,2
5,Crecida,2023-10-20,2023-10-24,"[16, 15]",A Coruna,2
6,Dana,2023-10-20,2023-10-24,"[20, 6]",A Coruna,2
7,Inundacion,2023-10-29,2023-11-03,[11],A Coruna,3
8,Luvias Intensas,2023-10-29,2023-11-03,"[24, 25, 11]",A Coruna,3
9,Desbordamientos,2023-10-29,2023-11-03,"[14, 15]",A Coruna,3
10,Crecida,2023-10-29,2023-11-03,[15],A Coruna,3
11,Dana,2023-10-29,2023-11-03,"[24, 25]",A Coruna,3
12,Inundacion,2023-11-07,2023-11-15,"[29, 31]",A Coruna,4
13,Desbordamientos,2023-11-07,2023-11-15,"[29, 31]",A Coruna,4
14,Crecida,2023-11-07,2023-11-15,"[29, 31]",A Coruna,4
15,Inundacion,2023-09-04,2023-09-08,"[41, 43, 36, 39]",Guadalajara,85
16,Luvias Intensas,2023-09-04,2023-09-08,[45],Guadalajara,85
17,Desbordamientos,2023-09-04,2023-09-08,"[49, 39]",Guadalajara,85
18,Crecida,2023-09-04,2023-09-08,"[51, 53]",Guadalajara,85
19,Dana,2023-09-04,2023-09-08,[51],Guadalajara,85
20,Desbordamientos,2023-09-19,2023-09-26,"[58, 60, 66]",Guadalajara,86
23,Inundacion,2023-10-20,2023-10-22,"[73, 9]",Guadalajara,87
24,Luvias Intensas,2023-10-20,2023-10-22,[73],Guadalajara,87
25,Dana,2023-10-20,2023-10-22,[77],Guadalajara,87
26,Inundacion,2023-12-02,2023-12-05,"[84, 78]",Guadalajara,88
30,Inundacion,2023-10-24,2023-10-31,[99],Huelva,89
32,Desbordamientos,2023-10-24,2023-10-31,"[104, 103]",Huelva,89
33,Crecida,2023-10-24,2023-10-31,"[104, 99, 103]",Huelva,89
34,Dana,2023-10-24,2023-10-31,[105],Huelva,89
35,Inundacion,2023-10-30,2023-11-01,[99],Huelva,90
37,Desbordamientos,2023-10-30,2023-11-01,"[104, 103]",Huelva,90
38,Crecida,2023-10-30,2023-11-01,"[104, 99, 103]",Huelva,90
39,Dana,2023-10-30,2023-11-01,[105],Huelva,90
40,Tempestad,2023-10-24,2023-11-01,[105],Huelva,91
41,Borrasca,2023-10-24,2023-11-01,[105],Huelva,91
42,Temporal,2023-10-24,2023-11-01,[105],Huelva,91
43,Vientos fuertes,2023-10-24,2023-11-01,[105],Huelva,91
45,Luvias Intensas,2023-05-26,2023-05-28,[110],Huesca,92
48,Inundacion,2023-09-21,2023-09-24,"[114, 115]",Illes Balears,99
49,Dana,2023-09-21,2023-09-24,"[114, 116]",Illes Balears,99
52,Borrasca,2023-02-28,2023-03-03,"[120, 122, 119]",Illes Balears,102
53,Temporal,2023-02-28,2023-03-03,[119],Illes Balears,102
54,Vientos fuertes,2023-02-28,2023-03-03,"[120, 122, 119]",Illes Balears,102
55,Tempestad,2023-08-27,2023-08-28,"[126, 127]",Illes Balears,103
56,Borrasca,2023-08-27,2023-08-28,"[128, 129, 130, 131, 134, 126]",Illes Balears,103
57,Vientos fuertes,2023-08-27,2023-08-28,"[128, 135]",Illes Balears,103
58,Inundacion,2023-09-15,2023-09-17,"[136, 137]",Jaen,104
