theme,start_time,end_time,sources,location,df_index
Inundacion,2023-09-10,2023-09-13,"[0, 1]",A Coruna,1
Luvias Intensas,2023-09-10,2023-09-13,"[1, 2]",A Coruna,1
Inundacion,2023-10-20,2023-10-24,"[3, 4, 5, 6, 7]",A Coruna,2
Luvias Intensas,2023-10-20,2023-10-24,"[7, 8]",A Coruna,2
Desbordamientos,2023-10-20,2023-10-24,"[11, 9, 10]",A Coruna,2
Crecida,2023-10-20,2023-10-24,"[11, 10]",A Coruna,2
Dana,2023-10-20,2023-10-24,"[12, 3]",A Coruna,2
Inundacion,2023-10-29,2023-11-03,[7],A Coruna,3
Luvias Intensas,2023-10-29,2023-11-03,"[13, 14, 7]",A Coruna,3
Desbordamientos,2023-10-29,2023-11-03,"[9, 10]",A Coruna,3
Crecida,2023-10-29,2023-11-03,[10],A Coruna,3
Dana,2023-10-29,2023-11-03,"[13, 14]",A Coruna,3
Inundacion,2023-11-07,2023-11-15,"[15, 16]",A Coruna,4
Desbordamientos,2023-11-07,2023-11-15,"[15, 16]",A Coruna,4
Crecida,2023-11-07,2023-11-15,"[15, 16]",A Coruna,4
Inundacion,2023-09-04,2023-09-08,"[19, 20, 17, 18]",Guadalajara,85
Luvias Intensas,2023-09-04,2023-09-08,[21],Guadalajara,85
Desbordamientos,2023-09-04,2023-09-08,"[22, 18]",Guadalajara,85
Crecida,2023-09-04,2023-09-08,"[23, 24]",Guadalajara,85
Dana,2023-09-04,2023-09-08,[23],Guadalajara,85
Desbordamientos,2023-09-19,2023-09-26,"[25, 26, 27]",Guadalajara,86
Inundacion,2023-10-20,2023-10-22,"[28, 5]",Guadalajara,87
Luvias Intensas,2023-10-20,2023-10-22,[28],Guadalajara,87
Dana,2023-10-20,2023-10-22,[29],Guadalajara,87
Inundacion,2023-12-02,2023-12-05,"[31, 30]",Guadalajara,88
Inundacion,2023-10-24,2023-10-31,[32],Huelva,89
Desbordamientos,2023-10-24,2023-10-31,"[34, 33]",Huelva,89
Crecida,2023-10-24,2023-10-31,"[34, 32, 33]",Huelva,89
Dana,2023-10-24,2023-10-31,[35],Huelva,89
Inundacion,2023-10-30,2023-11-01,[32],Huelva,90
Desbordamientos,2023-10-30,2023-11-01,"[34, 33]",Huelva,90
Crecida,2023-10-30,2023-11-01,"[34, 32, 33]",Huelva,90
Dana,2023-10-30,2023-11-01,[35],Huelva,90
Tempestad,2023-10-24,2023-11-01,[35],Huelva,91
Borrasca,2023-10-24,2023-11-01,[35],Huelva,91
Temporal,2023-10-24,2023-11-01,[35],Huelva,91
Vientos fuertes,2023-10-24,2023-11-01,[35],Huelva,91
Luvias Intensas,2023-05-26,2023-05-28,[36],Huesca,92
Inundacion,2023-09-21,2023-09-24,"[37, 38]",Illes Balears,99
Dana,2023-09-21,2023-09-24,"[37, 39]",Illes Balears,99
Borrasca,2023-02-28,2023-03-03,"[41, 42, 40]",Illes Balears,102
Temporal,2023-02-28,2023-03-03,[40],Illes Balears,102
Vientos fuertes,2023-02-28,2023-03-03,"[41, 42, 40]",Illes Balears,102
Tempestad,2023-08-27,2023-08-28,"[43, 44]",Illes Balears,103
Borrasca,2023-08-27,2023-08-28,"[45, 46, 47, 48, 49, 43]",Illes Balears,103
Vientos fuertes,2023-08-27,2023-08-28,"[45, 50]",Illes Balears,103
Inundacion,2023-09-15,2023-09-17,"[51, 52]",Jaen,104
Luvias Intensas,2023-09-15,2023-09-17,[53],Jaen,104
Desbordamientos,2023-09-15,2023-09-17,"[51, 52, 54]",Jaen,104
Dana,2023-09-15,2023-09-17,"[53, 56, 55]",Jaen,104
Inundacion,2023-12-03,2023-12-07,[57],Las Palmas,109
Desbordamientos,2023-12-03,2023-12-07,"[58, 59]",Las Palmas,109
Inundacion,2023-06-30,2023-07-03,[60],Lleida,112
Crecida,2023-06-30,2023-07-03,"[62, 61]",Lleida,112
Tempestad,2023-07-27,2023-07-28,[63],Lleida,113
Inundacion,2023-01-06,2023-01-12,"[64, 65, 66, 67]",Lugo,114
Desbordamientos,2023-01-06,2023-01-12,"[65, 67, 68, 69, 70, 71]",Lugo,114
Crecida,2023-01-06,2023-01-12,"[73, 64, 72, 66]",Lugo,114
Crecida,2023-01-20,2023-01-25,[74],Lugo,115
Inundacion,2023-06-05,2023-06-08,[75],Lugo,116
Desbordamientos,2023-06-05,2023-06-08,[76],Lugo,116
Inundacion,2023-10-28,2023-10-29,"[4, 7]",Lugo,117
Luvias Intensas,2023-10-28,2023-10-29,"[4, 14]",Lugo,117
Dana,2023-10-28,2023-10-29,[14],Lugo,117
Tempestad,2023-01-23,2023-02-02,[77],Lugo,118
Borrasca,2023-10-24,2023-11-01,"[14, 7, 78]",Lugo,119
Temporal,2023-10-24,2023-11-01,"[4, 14]",Lugo,119
Vientos fuertes,2023-10-24,2023-11-01,"[4, 78]",Lugo,119
Borrasca,2023-11-05,2023-11-10,[79],Lugo,120
Temporal,2023-11-05,2023-11-10,[79],Lugo,120
Desbordamientos,2023-06-02,2023-06-11,[80],Madrid,121
Crecida,2023-06-02,2023-06-11,"[82, 81]",Madrid,121
Dana,2023-09-17,2023-10-04,[39],Madrid,124
Inundacion,2023-10-23,2023-10-29,[83],Madrid,125
Inundacion,2023-12-01,2023-12-03,"[85, 86, 84]",Madrid,126
Desbordamientos,2023-12-01,2023-12-03,[87],Madrid,126
Luvias Intensas,2023-09-15,2023-09-16,[88],Malaga,131
Desbordamientos,2023-09-15,2023-09-16,[52],Malaga,131
Inundacion,2023-09-17,2023-09-20,[39],Murcia,134
Dana,2023-09-17,2023-09-20,"[37, 39]",Murcia,134
Inundacion,2023-05-22,2023-05-26,"[90, 89]",Navarra,137
Dana,2023-05-22,2023-05-26,[89],Navarra,137
Inundacion,2023-05-31,2023-06-05,[90],Navarra,138
Inundacion,2023-07-07,2023-07-10,"[91, 92]",Navarra,141
Luvias Intensas,2023-07-07,2023-07-10,[93],Navarra,141
Desbordamientos,2023-07-07,2023-07-10,"[92, 93]",Navarra,141
Inundacion,2023-09-06,2023-09-12,"[94, 95]",Navarra,142
Desbordamientos,2023-09-06,2023-09-12,"[95, 96]",Navarra,142
Dana,2023-09-06,2023-09-12,"[94, 97]",Navarra,142
Inundacion,2023-09-11,2023-09-15,[95],Navarra,143
Desbordamientos,2023-09-11,2023-09-15,"[95, 96]",Navarra,143
Inundacion,2023-01-17,2023-01-19,"[98, 99, 65, 100]",Ourense,146
Desbordamientos,2023-01-17,2023-01-19,"[99, 65, 100]",Ourense,146
Crecida,2023-01-17,2023-01-19,"[98, 99, 72]",Ourense,146
Inundacion,2023-06-01,2023-06-07,"[102, 101]",Ourense,147
Borrasca,2023-11-05,2023-11-11,[103],Ourense,148
Temporal,2023-11-05,2023-11-11,"[104, 16]",Ourense,148
Inundacion,2023-06-12,2023-06-17,[105],Palencia,149
Inundacion,2023-10-20,2023-10-23,"[108, 3, 4, 10, 106, 107]",Pontevedra,151
Luvias Intensas,2023-10-20,2023-10-23,"[4, 109, 12, 10]",Pontevedra,151
Desbordamientos,2023-10-20,2023-10-23,"[108, 106, 107, 10]",Pontevedra,151
Crecida,2023-10-20,2023-10-23,"[108, 106, 107, 10]",Pontevedra,151
Dana,2023-10-20,2023-10-23,"[12, 3]",Pontevedra,151
Desbordamientos,2023-11-06,2023-11-19,"[110, 111]",Pontevedra,152
Crecida,2023-11-06,2023-11-19,[111],Pontevedra,152
Borrasca,2023-10-24,2023-11-01,"[14, 7, 112, 107]",Pontevedra,153
Temporal,2023-10-24,2023-11-01,"[4, 106, 3]",Pontevedra,153
Vientos fuertes,2023-10-24,2023-11-01,"[4, 13, 113, 10]",Pontevedra,153
Borrasca,2023-11-05,2023-11-10,[114],Pontevedra,154
Temporal,2023-11-05,2023-11-10,[114],Pontevedra,154
Fuerte Oleaje,2023-08-13,2023-08-15,[115],Santa Cruz de Tenerife,157
Inundacion,2023-06-18,2023-06-20,[116],Segovia,158
Desbordamientos,2023-06-18,2023-06-20,[116],Segovia,158
Inundacion,2023-09-04,2023-09-08,"[117, 118, 119, 120]",Segovia,159
Luvias Intensas,2023-09-04,2023-09-08,"[23, 121, 122]",Segovia,159
Desbordamientos,2023-09-04,2023-09-08,"[117, 118, 123, 120]",Segovia,159
Crecida,2023-09-04,2023-09-08,"[23, 24, 119, 124]",Segovia,159
Dana,2023-09-04,2023-09-08,"[117, 118, 125]",Segovia,159
Inundacion,2023-09-05,2023-09-09,"[51, 126]",Sevilla,162
Desbordamientos,2023-09-05,2023-09-09,"[51, 24]",Sevilla,162
Crecida,2023-09-05,2023-09-09,"[127, 119]",Sevilla,162
Inundacion,2023-09-15,2023-09-17,[51],Sevilla,163
Desbordamientos,2023-09-15,2023-09-17,"[51, 52]",Sevilla,163
Inundacion,2023-10-20,2023-10-24,"[130, 5, 128, 129]",Sevilla,164
Luvias Intensas,2023-10-20,2023-10-24,"[5, 12, 128]",Sevilla,164
Desbordamientos,2023-10-20,2023-10-24,[128],Sevilla,164
Dana,2023-10-20,2023-10-24,"[133, 134, 135, 136, 130, 131, 132]",Sevilla,164
Borrasca,2023-10-24,2023-11-01,[137],Sevilla,165
Inundacion,2023-09-06,2023-09-13,"[138, 139]",Tarragona,168
Luvias Intensas,2023-09-06,2023-09-13,"[140, 138]",Tarragona,168
Desbordamientos,2023-09-06,2023-09-13,"[141, 142]",Tarragona,168
Dana,2023-09-06,2023-09-13,[138],Tarragona,168
Inundacion,2023-09-20,2023-09-27,[143],Tarragona,169
Dana,2023-09-20,2023-09-27,[88],Tarragona,169
Luvias Intensas,2023-10-20,2023-10-26,[12],Tarragona,170
Desbordamientos,2023-07-07,2023-07-09,[144],Teruel,174
Tempestad,2023-07-06,2023-07-07,"[145, 146]",Teruel,175
Desbordamientos,2023-06-02,2023-06-11,[147],Toledo,176
Desbordamientos,2023-06-05,2023-06-07,[147],Toledo,177
Dana,2023-09-15,2023-09-30,[148],Toledo,179
Inundacion,2023-10-23,2023-10-28,"[149, 150]",Toledo,180
Desbordamientos,2023-10-23,2023-10-28,"[149, 151]",Toledo,180
Dana,2023-10-23,2023-10-28,[152],Toledo,180
Inundacion,2023-12-01,2023-12-04,[153],Toledo,181
Desbordamientos,2023-12-01,2023-12-04,[153],Toledo,181
Crecida,2023-12-01,2023-12-04,[153],Toledo,181
Desbordamientos,2023-05-26,2023-05-30,"[154, 155]",Valencia,182
Crecida,2023-05-26,2023-05-30,"[156, 157]",Valencia,182
Inundacion,2023-08-27,2023-08-29,[158],Valencia,185
Crecida,2023-08-27,2023-08-29,[159],Valencia,185
Inundacion,2023-09-09,2023-09-20,"[160, 161, 162]",Valencia,186
Luvias Intensas,2023-09-09,2023-09-20,[2],Valencia,186
Desbordamientos,2023-09-09,2023-09-20,[141],Valencia,186
Crecida,2023-09-09,2023-09-20,"[163, 164, 165]",Valencia,186
Dana,2023-09-09,2023-09-20,"[166, 2]",Valencia,186
Inundacion,2023-09-19,2023-09-27,[162],Valencia,187
Luvias Intensas,2023-09-19,2023-09-27,[2],Valencia,187
