,theme,start_time,end_time,affected_sectors,severity_ratio,answer_ratio,sources,location,df_index
0,Inundacion,2023-09-10,2023-09-13,"['Aguas Residuales', 'Transporte']","{'Aguas Residuales': 0.5735294117647058, 'Transporte': 0.5}","{17: 0.5, 18: 0.5, 19: 0.625, 6: 0.5, 7: 0.75, 8: 0.75}","['https://www.dream-alcala.com/gran-inundacion-en-alcala-de-henares-tras-la-rotura-de-una-tuberia/', 'https://www.larazon.es/el-tiempo/borrasca-fria-espana-directo-ultima-hora-temporal-tormentas-lluvias-torrenciales-granizo_202309156503f12998383a00011cd4c1.html']",A Coruna,1
1,Luvias Intensas,2023-09-10,2023-09-13,"['Aguas Residuales', 'Transporte', 'Agua y Alimentos']","{'Transporte': 0.375, 'Agua y Alimentos': 0.6388888888888888, 'Aguas Residuales': 0.7132352941176471}","{6: 0.75, 7: 0.75, 8: 0.375, 14: 0.75, 15: 0.625, 16: 0.75, 17: 0.625, 18: 0.75, 19: 0.75}","['https://www.elperiodico.com/es/tiempo/20230915/alerta-inuncat-lluvias-viernes-catalunya-dv-92096860', 'https://www.levante-emv.com/comunitat-valenciana/2023/09/19/dana-deja-lluvia-torrencial-granizo-92291214.html', 'https://www.elnacional.cat/es/tag/el-tiempo', 'https://www.elprogreso.es/articulo/a-marina/vuelve-fin-semana-tormentoso-mucha-lluvia-manana/202309142133481691677.html', 'https://www.larazon.es/el-tiempo/borrasca-fria-espana-directo-ultima-hora-temporal-tormentas-lluvias-torrenciales-granizo_202309156503f12998383a00011cd4c1.html']",A Coruna,1
2,Inundacion,2023-10-20,2023-10-24,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.6458333333333334, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.625, 6: 0.65, 7: 0.6666666666666666, 8: 0.75, 14: 0.75, 15: 0.75, 16: 1.0}","['https://www.elmundo.es/espana/2023/10/28/653d565cfc6c838f768b45b0.html', 'https://www.publico.es/sociedad/aline-aleja-dejar-paso-nueva-borrasca-partir-domingo.html', 'https://www.lavozdegalicia.es/noticia/galicia/2023/10/28/nuevo-frente-deja-galicia-lluvia-fuertes-vientos-durante-sabado/00031698504215983982884.htm', 'https://www.abc.es/espana/madrid/alerta-roja-lluvias-madrid-directo-estado-carreteras-incidencias-metro-cercanias-20231019162135-di.html', 'https://www.farodevigo.es/sociedad/2023/10/20/tren-borrascas-aline-deja-galicia-93553121.html', 'https://metropolitano.gal/enfoque/la-borrasca-celine-deja-numerosas-incidencias-en-vigo-y-area-donde-se-espera-otra-semana-de-lluvia/']",A Coruna,2
3,Luvias Intensas,2023-10-20,2023-10-24,['Transporte'],{'Transporte': 0.5416666666666666},"{8: 0.6666666666666666, 5: 0.75, 6: 0.75, 7: 0.75}","['https://www.elidealgallego.com/articulo/area-metropolitana/colapso-autopista-accidente-altura-barcala-4490748', 'https://metropolitano.gal/enfoque/la-borrasca-celine-deja-numerosas-incidencias-en-vigo-y-area-donde-se-espera-otra-semana-de-lluvia/', 'https://www.galiciapress.es/articulo/sociedad/2023-10-23/4485326-aviso-naranja-viento-mar-martes-toda-galicia-salvo-marina-estara-amarillo']",A Coruna,2
4,Desbordamientos,2023-10-20,2023-10-24,"['Sanidad', 'Transporte', 'Aguas Residuales']","{'Transporte': 0.4791666666666667, 'Sanidad': 0.75, 'Aguas Residuales': 0.5}","{6: 0.75, 7: 0.5, 8: 0.6666666666666666, 10: 0.75, 11: 0.75, 12: 0.75, 13: 0.75, 17: 0.5, 18: 0.5, 19: 0.5, 5: 0.5}","['https://www.20minutos.es/noticia/5185878/0/varios-rescatados-huelva-tras-anegarse-sus-viviendas-por-lluvia/', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.lavozdegalicia.es/noticia/galicia/2023/10/26/galicia-registra-frente-lluvias-deja-balsas-agua-riadas-localizadas-inundaciones-crecidas-rios/00031698334986085205729.htm']",A Coruna,2
5,Crecida,2023-10-20,2023-10-24,"['Aguas Residuales', 'Transporte']","{'Transporte': 0.5, 'Aguas Residuales': 0.7205882352941176}","{6: 0.75, 7: 0.5, 8: 0.875, 17: 0.75, 18: 0.5, 19: 0.75, 5: 0.25}","['https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.lavozdegalicia.es/noticia/galicia/2023/10/26/galicia-registra-frente-lluvias-deja-balsas-agua-riadas-localizadas-inundaciones-crecidas-rios/00031698334986085205729.htm']",A Coruna,2
6,Dana,2023-10-20,2023-10-24,"['Transporte', 'Agua y Alimentos']","{'Transporte': 0.734375, 'Agua y Alimentos': 0.8333333333333334}","{5: 0.6875, 6: 0.6875, 7: 0.875, 8: 0.6875, 14: 0.875, 15: 0.875, 16: 0.75}","['https://elpais.com/espana/2023-10-20/otra-borrasca-azota-el-norte-de-espana-tras-el-paso-de-la-historica-aline.html', 'https://www.elmundo.es/espana/2023/10/28/653d565cfc6c838f768b45b0.html', 'https://aemetblog.es/2023/10/30/informe-operativo-semanal-del-16-al-22-de-octubre-de-2023/', 'https://www.elespanol.com/quincemil/actualidad/galicia/20231030/celine-ciaran-llegaran-domingos-elisa-todas-tormentas-galicia-otono/805919944_0.html', 'https://www.larazon.es/el-tiempo/temporal-espana-directo-alertas-ultima-hora-zonas-afectadas-borrasca-aline_20231020653216c4a1cbe00001722a03.html']",A Coruna,2
7,Inundacion,2023-10-29,2023-11-03,['Transporte'],{'Transporte': 0.5625},"{6: 0.625, 7: 0.5, 8: 0.75, 5: 0.75}","['https://www.miteco.gob.es/es/prensa/ultimas-noticias/2023/11/octubre-de-2023--el-segundo-mas-calido-de-la-serie-historica-y-e.html', 'https://www.elmundo.es/espana/2023/10/30/653f4cabe4d4d8a9328b4593.html', 'https://metropolitano.gal/enfoque/la-borrasca-celine-deja-numerosas-incidencias-en-vigo-y-area-donde-se-espera-otra-semana-de-lluvia/']",A Coruna,3
8,Luvias Intensas,2023-10-29,2023-11-03,"['Transporte', 'Energia']","{'Transporte': 0.796875, 'Energia': 0.703125}","{5: 0.875, 6: 0.75, 7: 0.8125, 8: 0.75, 0: 0.75, 1: 0.75, 2: 0.5, 3: 1.0}","['https://www.galiciapress.es/articulo/sociedad/2023-10-31/4514252-alerta-roja-jueves-parte-costa-hilo-ciclogenesis-ciaran-estan-punto-golpear-galicia', 'https://www.larazon.es/el-tiempo/borrasca-ciaran-directo-ultima-hora-zonas-espana-afectadas-temporal-lluvia-viento-nieve_202311036544ade8f6ca72000147fd57.html', 'https://www.cope.es/emisoras/galicia/noticias/asi-afectar-borrasca-domingos-galicia-olas-hasta-metros-este-sabado-20231103_2981711', 'https://metropolitano.gal/enfoque/la-borrasca-celine-deja-numerosas-incidencias-en-vigo-y-area-donde-se-espera-otra-semana-de-lluvia/']",A Coruna,3
9,Desbordamientos,2023-10-29,2023-11-03,"['Sanidad', 'Aguas Residuales', 'Agua y Alimentos', 'Transporte']","{'Transporte': 0.65625, 'Sanidad': 0.75, 'Agua y Alimentos': 0.75, 'Aguas Residuales': 0.35294117647058826}","{5: 0.75, 6: 0.75, 7: 0.75, 8: 0.75, 10: 0.75, 11: 0.75, 12: 0.75, 13: 0.75, 14: 0.75, 15: 0.75, 16: 0.75, 18: 0.5, 19: 0.5}","['https://www.20minutos.es/noticia/5185878/0/varios-rescatados-huelva-tras-anegarse-sus-viviendas-por-lluvia/', 'https://www.diariodepontevedra.es/articulo/pontevedra/temporal-vuelve-golpear-dureza-marin/202310290852181276755.html', 'https://www.laopinioncoruna.es/galicia/2023/11/07/pasado-octubre-segundo-mes-lluvioso-94293700.html']",A Coruna,3
